视频id,视频标题,视频作者,地区,时间,干净评论,segmented,情感得分,情感标签
7359369403386924303,"At this hearing I stand before my fellow members of The Tortured Poets Department with a summary of my findings
Album today
Fortnight music video tomorrow at 8pm et",Taylor Swift,辽宁,2024-08-08 09:23,加好友加好友加好友玫瑰玫瑰玫瑰Taylor Swift 德国小姐姐韦玫霖,"[('加', 'v'), ('好友', 'n'), ('加', 'v'), ('好友', 'n'), ('加', 'v'), ('好友', 'n'), ('玫瑰', 'n'), ('玫瑰', 'n'), ('玫瑰', 'n'), ('Taylor', 'eng'), (' ', 'x'), ('Swift', 'eng'), (' ', 'x'), ('德国', 'ns'), ('小姐姐', 'nr'), ('韦玫霖', 'nr')]",0.9999940210215695,积极
7425245815997828363,霸王别姬,薛之谦,河北,2024-10-13 21:15,我比我好友先看就这点把戏 0717 cycy,"[('好友', 'n'), ('先', 'd'), ('把戏', 'n'), (' ', 'x'), ('0717', 'm'), (' ', 'x'), ('cycy', 'eng')]",0.7816956664472697,积极
7421137556600786214,10月份交付目标冲刺2万辆 在这里感谢车主们的体谅我们一定加快速度争取让大家早日开上梦想之车和雷军一起聊车,雷军,广东,2024-10-08 09:04,好怕你突然说要锁我9号车,"[('说', 'v'), ('锁', 'v'), ('号车', 'n')]",0.09988692299278867,消极
7425245815997828363,霸王别姬,薛之谦,广东,2024-10-13 21:28,好听 请问什么时候出新专辑流泪流泪流泪,"[('好听', 'v'), (' ', 'x'), ('请问', 'v'), ('新专辑', 'l'), ('流泪', 'n'), ('流泪', 'n'), ('流泪', 'n')]",0.7641853687154609,积极
7425279805723069696,谢谢杭州我们上海见巡演日记 汪苏泷2024十万伏特巡回演唱会,汪苏泷,天津,2024-10-13 23:24,哥哥 你好抽象色,"[('哥哥', 'ns'), (' ', 'x'), ('你好', 'l'), ('抽象', 'v'), ('色', 'ng')]",0.964397002730534,积极
7424162389303627044,耳边的新朋友竟然是它 字节豆包出品的耳机到底怎么样olafriend豆包 科技数码 蓝牙耳机智能耳机,影视飓风,辽宁,2024-10-11 01:00,没事的时候翻看好多年前点赞的视频 总是纳闷 以前看的时候就是这个画质嘛 那个时候是怎么看的 这回终于知道为什么了,"[('没事', 'v'), ('翻看', 'v'), ('好多年', 'm'), ('前', 'f'), ('点赞', 'v'), ('视频', 'n'), (' ', 'x'), ('纳闷', 'v'), (' ', 'x'), ('画质', 'n'), (' ', 'x'), (' ', 'x'), ('这回', 'mq'), ('终于', 'd')]",0.6151003344842476,积极
7424745702070275343,我爸的要账之路看人间温暖与真实人性,龙腾虎跃（龙殿俊）10号10点东北农产品,浙江,2024-10-12 16:15,人间疾苦各有各的难愿善良的人都要好运气感谢感谢感谢善良的人一生平安 健康 幸福感谢感谢感谢,"[('人间', 'n'), ('疾苦', 'n'), ('难', 'a'), ('愿', 'v'), ('善良', 'a'), ('好运气', 'l'), ('感谢', 'v'), ('感谢', 'v'), ('感谢', 'v'), ('善良', 'a'), ('一生', 'm'), ('平安', 'a'), (' ', 'x'), ('健康', 'a'), (' ', 'x'), ('幸福', 'a'), ('感谢', 'v'), ('感谢', 'v'), ('感谢', 'v')]",0.9999964485129481,积极
7394850201397251339,来来来 聊天,孙燕姿,湖北,2024-08-13 11:02,湖北宜昌宜昌宜昌喜欢你很多年一定一定要看你演唱会期待很多年了知道25年你开演唱会激动好久,"[('湖北', 'ns'), ('宜昌', 'ns'), ('宜昌', 'ns'), ('宜昌', 'ns'), ('喜欢', 'v'), ('很多年', 'm'), ('演唱会', 'n'), ('期待', 'v'), ('很多年', 'm'), ('25', 'm'), ('年', 'm'), ('开', 'v'), ('演唱会', 'n'), ('激动', 'a'), ('好久', 'm')]",0.9567143967344703,积极
7421405814096727334,"星际迁移只是一个故事
但除此之外一定要谨慎
邓紫棋 邓紫棋IAMGLORIA世界巡回演唱会 邓紫棋演唱会 邓紫棋巡演日记",GEM鄧紫棋,吉林,2024-10-03 22:13,AKA Gloria 好喜欢她说话,"[('AKA', 'eng'), (' ', 'x'), ('Gloria', 'eng'), (' ', 'x'), ('喜欢', 'v'), ('说话', 'v')]",0.5927849027377898,积极
7394850201397251339,来来来 聊天,孙燕姿,四川,2024-08-19 19:48,发现跟我偶像同一天生日以前我都过农历生日后面专门翻看了出生那一年的国历是7月23啦就是跟我孙姐姐同一天啦哈哈哈哈哈很开心,"[('发现', 'v'), ('偶像', 'n'), ('同一天', 'd'), ('生日', 't'), ('农历', 'n'), ('生日', 't'), ('翻看', 'v'), ('出生', 'v'), ('一年', 'm'), ('国历', 'n'), ('月', 'm'), ('23', 'm'), ('孙', 'nr'), ('姐姐', 'n'), ('同一天', 'd'), ('哈哈哈', 'o'), ('开心', 'v')]",0.8289087859625078,积极
7421137556600786214,10月份交付目标冲刺2万辆 在这里感谢车主们的体谅我们一定加快速度争取让大家早日开上梦想之车和雷军一起聊车,雷军,山西,2024-10-11 13:36,雷军 雷总 我希望能够入职你的公司在您手底下干因为我明年要毕业了有些焦虑想找一份工作后来思来想去觉得您是最好的老板和企业家了如果雷总能够回复我并且收留我的话我会为雷总您赴汤蹈火在所不惜希望雷总看见感谢,"[('雷军', 'nr'), (' ', 'x'), ('雷总', 'nr'), (' ', 'x'), ('希望', 'v'), ('入职', 'v'), ('公司', 'n'), ('手底下', 's'), ('干', 'v'), ('明年', 't'), ('毕业', 'n'), ('焦虑', 'a'), ('想', 'v'), ('找', 'v'), ('一份', 'm'), ('工作', 'vn'), ('思来想去', 'l'), ('老板', 'n'), ('企业家', 'n'), ('雷总', 'nr'), ('回复', 'v'), ('收留', 'v'), ('我会', 'n'), ('雷总', 'nr'), ('赴汤蹈火', 'i'), ('在所不惜', 'i'), ('希望', 'v'), ('雷总', 'nr'), ('感谢', 'v')]",0.9999891284346375,积极
7425104623888895266,原神 芙宁娜生日快乐不如我让它们也给你做个造型如何,原神,安徽,2024-10-13 12:59,夜穹 芙芙好看爆灯,"[('夜穹', 'n'), (' ', 'x'), ('芙芙', 'nrt'), ('好看', 'v'), ('爆灯', 'v')]",0.9357495139532847,积极
7425255266205191476,面对似幻似真的蜃楼希望我们都可以放下执念拥有勇往直前的勇气抖音美好奇妙夜,卡布叻_周深,湖北,2024-10-13 21:59,歌好听舞台好看周深还是太全面了比心比心比心yydsyydsyyds,"[('歌', 'n'), ('好听', 'v'), ('舞台', 'n'), ('好看', 'v'), ('周', 'nr'), ('深', 'a'), ('太', 'd'), ('比心', 'n'), ('比心', 'n'), ('心', 's'), ('yydsyydsyyds', 'eng')]",0.9113209819348196,积极
7408476801258769674,黑神话悟空  瑞幸咖啡X黑神话悟空合作TVC正式发布,黑神话悟空,江苏,2024-10-08 00:08,销量突破2100w了好好做后面的dlc啊不要赶工啊啊啊,"[('销量', 'n'), ('突破', 'vn'), ('2100', 'm'), ('w', 'eng'), ('好好', 'd'), ('做', 'v'), ('dlc', 'eng'), ('赶工', 'v'), ('啊啊啊', 'nr')]",0.9309375302066923,积极
7425245815997828363,霸王别姬,薛之谦,吉林,2024-10-13 23:03,一抹炭火 小鑫唱的好好听,"[('一抹', 'm'), ('炭火', 'n'), (' ', 'x'), ('小鑫', 'nr'), ('唱', 'v'), ('好好', 'd'), ('听', 'v')]",0.7281739780822856,积极
7425245815997828363,霸王别姬,薛之谦,四川,2024-10-13 21:26,19分钟2万多赞流泪流泪,"[('19', 'm'), ('分钟', 'q'), ('万多', 'm'), ('赞', 'v'), ('流泪', 'n'), ('流泪', 'n')]",0.9879583982873748,积极
7425245815997828363,霸王别姬,薛之谦,广西,2024-10-14 01:03,不猪 好好听,"[('不猪', 'n'), (' ', 'x'), ('好好', 'd'), ('听', 'v')]",0.6057380396198935,积极
7420052940737596709,串串房到底该怎么维权租客知道是串串房后有多无奈可能都在我身上发生了这到底哪个部门来负责怎么防止串串房东继续租给下一家待我慢慢学习吧,B太,江西,2024-09-30 03:09,我发现抖音真的搞笑 这种揭露恶劣现象的视频 那种为别人发声的视频都不能赞赏 娱乐视频就可以 干饭人,"[('发现', 'v'), ('抖', 'v'), ('音', 'n'), ('真的', 'd'), ('搞笑', 'v'), (' ', 'x'), ('揭露', 'v'), ('恶劣', 'a'), ('现象', 'n'), ('视频', 'n'), (' ', 'x'), ('那种', 'r'), ('发声', 'v'), ('视频', 'n'), ('赞赏', 'v'), (' ', 'x'), ('娱乐', 'vn'), ('视频', 'n'), (' ', 'x'), ('干饭', 'n')]",0.03052872146493868,消极
7425134237650603274,发评论送福利又来三部折叠手机 红衣客厅 大咖观察 荣耀手机,红衣大叔周鸿祎,广东,2024-10-13 17:26,10万人了666 赞赞,"[('10', 'm'), ('万', 'm'), ('666', 'm'), (' ', 'x'), ('赞赞', 'v')]",0.9896323269992942,积极
7425245815997828363,霸王别姬,薛之谦,北京,2024-10-13 23:43,榴莲芝士 好好听,"[('榴莲', 'n'), ('芝士', 'ns'), (' ', 'x'), ('好好', 'd'), ('听', 'v')]",0.5803972826826312,积极
7424162389303627044,耳边的新朋友竟然是它 字节豆包出品的耳机到底怎么样olafriend豆包 科技数码 蓝牙耳机智能耳机,影视飓风,广东,2024-10-10 23:22,好烫好烫yan,"[('烫', 'v'), ('烫', 'v'), ('yan', 'eng')]",0.20452799860957271,消极
7420638381417221415,焦土上开满了鲜花我们会好好守护它电影志愿军存亡之战,Jason张杰,江西,2024-10-07 03:16,杰哥 流泪你唱的太好了流泪唱的我哭的一塌糊涂流泪流泪流泪流泪,"[('杰哥', 'nr'), (' ', 'x'), ('流泪', 'n'), ('唱', 'v'), ('太好了', 'l'), ('流泪', 'n'), ('唱', 'v'), ('哭', 'v'), ('一塌糊涂', 'i'), ('流泪', 'n'), ('流泪', 'n'), ('流泪', 'n'), ('流泪', 'n')]",0.9997232155375647,积极
7420052940737596709,串串房到底该怎么维权租客知道是串串房后有多无奈可能都在我身上发生了这到底哪个部门来负责怎么防止串串房东继续租给下一家待我慢慢学习吧,B太,山东,2024-10-13 14:35,斯文孙 咱租的不装修也有不装修的好处,"[('斯文', 'nr'), ('孙', 'zg'), (' ', 'x'), ('租', 'v'), ('装修', 'v'), ('装修', 'v'), ('好处', 'd')]",0.08596398374765557,消极
7425245815997828363,霸王别姬,薛之谦,四川,2024-10-13 22:12,真的好好听 救命 泣不成声,"[('真的', 'd'), ('好好', 'd'), ('听', 'v'), (' ', 'x'), ('救命', 'vn'), (' ', 'x'), ('泣不成声', 'i')]",0.849138723282302,积极
7425245815997828363,霸王别姬,薛之谦,广西,2024-10-14 01:06,好听 嘛呀,"[('好听', 'v'), (' ', 'x')]",0.33333333333333337,消极
7425245815997828363,霸王别姬,薛之谦,江西,2024-10-13 22:37,哎嘿嘿 好听色色色,"[(' ', 'x'), ('好听', 'v'), ('色色色', 'n')]",0.12147266781410815,消极
7420052940737596709,串串房到底该怎么维权租客知道是串串房后有多无奈可能都在我身上发生了这到底哪个部门来负责怎么防止串串房东继续租给下一家待我慢慢学习吧,B太,江西,2024-09-30 11:57,好的材料真的不便宜我自己的房子自己买材料请工人装修没有请装修公司就简单的装修风格在小县城都花了20多万我们自己买的材料都是好的差的不要,"[('材料', 'n'), ('真的', 'd'), ('便宜', 'a'), ('房子', 'n'), ('买', 'v'), ('材料', 'n'), ('请', 'v'), ('工人', 'n'), ('装修', 'v'), ('请', 'v'), ('装修', 'v'), ('公司', 'n'), ('简单', 'a'), ('装修', 'v'), ('风格', 'n'), ('县城', 'n'), ('花', 'v'), ('20', 'm'), ('多万', 'm'), ('买', 'v'), ('材料', 'n'), ('差', 'a')]",0.1277189476568099,消极
7425245815997828363,霸王别姬,薛之谦,江西,2024-10-13 23:08,牙牙每天都很快乐版 好好听躺平,"[('牙牙', 'ns'), ('快乐', 'a'), ('版', 'n'), (' ', 'x'), ('好好', 'd'), ('听', 'v'), ('躺平', 'n')]",0.979276802121642,积极
7425245815997828363,霸王别姬,薛之谦,福建,2024-10-14 01:56,ClariS 宕机宕机宕机姐好强,"[('ClariS', 'eng'), (' ', 'x'), ('宕机', 'nrt'), ('宕机', 'nrt'), ('宕机', 'nrt'), ('姐', 'n'), ('强', 'a')]",0.47019124628583076,消极
7425279805723069696,谢谢杭州我们上海见巡演日记 汪苏泷2024十万伏特巡回演唱会,汪苏泷,江苏,2024-10-14 16:41,不是 哥 我有点不想给你点赞我想静静下次嗷下次一定,"[(' ', 'x'), ('哥', 'n'), (' ', 'x'), ('不想', 'v'), ('点赞', 'v'), ('想', 'v'), ('静静', 'nr'), ('下次', 't'), ('嗷', 'o'), ('下次', 't')]",0.9657359630118209,积极
7421137556600786214,10月份交付目标冲刺2万辆 在这里感谢车主们的体谅我们一定加快速度争取让大家早日开上梦想之车和雷军一起聊车,雷军,新疆,2024-10-10 14:04,你好雷总我是一个资深米粉用过2s小米3小米mix至尊小米8至尊小米10去年我购买的红米K60至尊版还不到一年昨天突然反复重启打客服电话客服非常蛮狠手机坏的时间没到质保期但是客服说按照工程师收到后那一天算工程师收到就出了质保了,"[('你好', 'l'), ('雷总', 'nr'), ('资深', 'n'), ('米粉', 'nr'), ('s', 'eng'), ('小米', 'n'), ('小米', 'n'), ('mix', 'eng'), ('至尊', 'v'), ('小米', 'n'), ('至尊', 'v'), ('小米', 'n'), ('10', 'm'), ('去年', 't'), ('购买', 'v'), ('红米', 'n'), ('K60', 'eng'), ('至尊版', 'l'), ('不到', 'v'), ('一年', 'm'), ('昨天', 't'), ('反复', 'v'), ('重启', 'v'), ('客服', 'n'), ('电话', 'n'), ('客服', 'n'), ('狠', 'd'), ('手机', 'n'), ('坏', 'a'), ('时间', 'n'), ('质保', 'j'), ('期', 'n'), ('客服', 'n'), ('说', 'v'), ('工程师', 'n'), ('收到', 'v'), ('算', 'v'), ('工程师', 'n'), ('收到', 'v'), ('质保', 'j')]",0.0014113181944225284,消极
7424745702070275343,我爸的要账之路看人间温暖与真实人性,龙腾虎跃（龙殿俊）10号10点东北农产品,天津,2024-10-12 19:15,黑M小时候家里开粮店每当年根了我爸骑着他那幸福250开始各个村屯要账下雪天也得去早上8点多走晚上6点多回来狗皮帽子套了俩层大棉袄靴子上全是雪我爸那眼睫毛一层一层的冰溜子我至今还有记忆那也是我小时候对他的回忆日子刚好些99年的冬天走了老家什么都好就欠帐这习俗是真没招,"[('黑', 'a'), ('M', 'eng'), ('小时候', 'n'), ('家里', 's'), ('开', 'v'), ('粮店', 'n'), ('年', 'm'), ('根了', 'p'), ('爸', 'n'), ('骑', 'v'), ('幸福', 'a'), ('250', 'm'), ('村屯', 'n'), ('要账', 'v'), ('下雪天', 'n'), ('早上', 't'), ('点', 'm'), ('走', 'v'), ('晚上', 't'), ('点', 'm'), ('回来', 'v'), ('狗', 'n'), ('皮帽子', 'n'), ('套', 'q'), ('俩层', 'm'), ('棉袄', 'n'), ('靴子', 'n'), ('全', 'a'), ('雪', 'n'), ('爸', 'n'), ('眼睫毛', 'n'), ('一层', 'm'), ('一层', 'm'), ('冰溜子', 'nr'), ('记忆', 'n'), ('小时候', 'n'), ('回忆', 'v'), ('日子', 'n'), ('99', 'm'), ('年', 'm'), ('冬天', 't'), ('走', 'v'), ('老家', 'n'), ('欠帐', 'n'), ('习俗', 'n'), ('真', 'd'), ('招', 'v')]",0.9986942358363534,积极
7425245815997828363,霸王别姬,薛之谦,河北,2024-10-13 23:44,最近 好听,"[(' ', 'x'), ('好听', 'v')]",0.33333333333333337,消极
7359369403386924303,"At this hearing I stand before my fellow members of The Tortured Poets Department with a summary of my findings
Album today
Fortnight music video tomorrow at 8pm et",Taylor Swift,辽宁,2024-09-21 16:30,加好友加好友加好友玫瑰玫瑰玫瑰Taylor Swift SabrinaCarpenter 德国小姐姐韦玫霖,"[('加', 'v'), ('好友', 'n'), ('加', 'v'), ('好友', 'n'), ('加', 'v'), ('好友', 'n'), ('玫瑰', 'n'), ('玫瑰', 'n'), ('玫瑰', 'n'), ('Taylor', 'eng'), (' ', 'x'), ('Swift', 'eng'), (' ', 'x'), ('SabrinaCarpenter', 'eng'), (' ', 'x'), ('德国', 'ns'), ('小姐姐', 'nr'), ('韦玫霖', 'nr')]",0.999993358906552,积极
7425245815997828363,霸王别姬,薛之谦,河北,2024-10-13 22:44,河北内马尔 心系你 Slowly 財 我嘞个雷啊这这这助理都唱的这么好听,"[('河北', 'ns'), ('内马尔', 'ns'), (' ', 'x'), ('心系', 'n'), (' ', 'x'), ('Slowly', 'eng'), (' ', 'x'), ('財', 'zg'), (' ', 'x'), ('嘞', 'y'), ('雷', 'n'), ('助理', 'vn'), ('唱', 'v'), ('好听', 'v')]",0.9435348928943567,积极
7421137556600786214,10月份交付目标冲刺2万辆 在这里感谢车主们的体谅我们一定加快速度争取让大家早日开上梦想之车和雷军一起聊车,雷军,浙江,2024-10-09 12:39,雷总您好为什么小米手环9老是没货流泪,"[('雷总', 'nr'), ('您好', 'l'), ('小米', 'n'), ('手环', 'n'), ('没货', 'l'), ('流泪', 'n')]",0.9900670759024904,积极
7420052940737596709,串串房到底该怎么维权租客知道是串串房后有多无奈可能都在我身上发生了这到底哪个部门来负责怎么防止串串房东继续租给下一家待我慢慢学习吧,B太,湖南,2024-09-30 01:02,哎谁又想住甲醛超标的房子呢只不过是这种房子是统一生产出租的对刚来一个地方没时间找房子的人来说太有优势了房东发的视频和实景基本一模一样装修也不破旧还能短租一个月房子有什么问题可以找客服基本上不扯皮你要自己去找房不断地去看房要时间基本上不存在只让你短租一个月两个月的有时候房东不好还容易扯皮今年2月22号临时要求去一个城市培训两个月24号就要到地方没时间去找房子只能找这种疑似串串房但是很方便的房子流泪流泪,"[('想住', 'v'), ('甲醛', 'nz'), ('超标', 'v'), ('房子', 'n'), ('只不过', 'c'), ('房子', 'n'), ('统一', 'vn'), ('生产', 'vn'), ('出租', 'v'), ('刚来', 't'), ('地方', 'n'), ('时间', 'n'), ('找', 'v'), ('房子', 'n'), ('太', 'd'), ('优势', 'n'), ('房东', 'n'), ('发', 'v'), ('视频', 'n'), ('实景', 'n'), ('一模一样', 'l'), ('装修', 'v'), ('破旧', 'z'), ('短', 'a'), ('租', 'v'), ('一个月', 'm'), ('房子', 'n'), ('找', 'v'), ('客服', 'n'), ('扯皮', 'v'), ('找', 'v'), ('房', 'n'), ('去看房', 'v'), ('时间', 'n'), ('短', 'a'), ('租', 'v'), ('一个月', 'm'), ('两个', 'm'), ('月', 'm'), ('有时候', 'l'), ('房东', 'n'), ('不好', 'd'), ('扯皮', 'v'), ('月', 'm'), ('22', 'm'), ('号', 'm'), ('临时', 'b'), ('城市', 'ns'), ('培训', 'vn'), ('两个', 'm'), ('月', 'm'), ('24', 'm'), ('号', 'm'), ('地方', 'n'), ('时间', 'n'), ('找', 'v'), ('房子', 'n'), ('只能', 'v'), ('找', 'v'), ('疑似', 'v'), ('串串', 'n'), ('房', 'n'), ('房子', 'n'), ('流泪', 'n'), ('流泪', 'n')]",1.7113199746177088e-11,消极
